team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,manager
Obi 'Quon Kenobi,9,Jimmy Graham,TE,Chi,TE,5.7,roy s
3HeadedATK,9,Joe Mixon,RB,Cin,BN,0,Christopher
Run it Back,9,Joey Slye,K,Car,K,6,Jean
Birds Like I'm Julio,9,John Brown,WR,Buf,W/R/T,11.6,Jake
Big Bucs No Whammies,9,Jordan Howard,RB,Mia,W/R/T,15.3,Travis
Run it Back,9,Josh Allen,QB,Buf,QB,18.6,Jean
Post Mahomes,9,Josh Jacobs,RB,LV,RB,24,JL
Game of Jones,9,Josh Lambo,K,Jax,K,3,Andre
Post Mahomes,9,JuJu Smith-Schuster,WR,Pit,W/R/T,4.6,JL
Run it Back,9,Julian Edelman,WR,NE,WR,16.9,Jean
Game of Jones,9,Julio Jones,WR,Atl,BN,0,Andre
Zeke Virus,9,Justin Tucker,K,Bal,K,7,Adam
Birds Like I'm Julio,9,Ka'imi Fairbairn,K,Hou,K,11,Jake
Eli Man Penguin Boy,9,Kareem Hunt,RB,Cle,BN,0,Andy
Da Don Da Da's,9,Keenan Allen,WR,LAC,WR,7,Khari
Post Mahomes,9,Kenny Golladay,WR,Det,WR,23.2,JL
Game of Jones,9,Kenny Stills,WR,Hou,W/R/T,9.2,Andre
Eli Man Penguin Boy,9,Kenyan Drake,RB,Ari,BN,28.2,Andy
3HeadedATK,9,Kerryon Johnson,RB,Det,BN,0,Christopher
Birds Like I'm Julio,9,Kirk Cousins,QB,Min,BN,24.3,Jake
Eli Man Penguin Boy,9,Kyler Murray,QB,Ari,BN,25.04,Andy
Birds Like I'm Julio,9,Lamar Jackson,QB,Bal,BN,29.62,Jake
Da Don Da Da's,9,Larry Fitzgerald,WR,Ari,BN,7.8,Khari
Birds Like I'm Julio,9,Latavius Murray,RB,NO,BN,0,Jake
Obi 'Quon Kenobi,9,Le'Veon Bell,RB,NYJ,RB,20.1,roy s
Obi 'Quon Kenobi,9,Leonard Fournette,RB,Jax,RB,12.2,roy s
Obi 'Quon Kenobi,9,LeSean McCoy,RB,KC,BN,1.9,roy s
Eli Man Penguin Boy,9,Los Angeles,DEF,LAR,BN,0,Andy
Post Mahomes,9,Mark Andrews,TE,Bal,TE,4.1,JL
Big Bucs No Whammies,9,Mark Ingram II,RB,Bal,W/R/T,14.4,Travis
Zeke Virus,9,Mark Walton,RB,Mia,W/R/T,7.1,Adam
3HeadedATK,9,Marlon Mack,RB,Ind,RB,8.9,Christopher
Big Bucs No Whammies,9,Marquez Valdes-Scantling,WR,GB,BN,0,Travis
Game of Jones,9,Marquise Brown,WR,Bal,WR,7.8,Andre
Obi 'Quon Kenobi,9,Marvin Jones Jr.,WR,Det,WR,26.6,roy s
Post Mahomes,9,Mason Crosby,K,GB,K,5,JL
Run it Back,9,Matt Breida,RB,SF,BN,11.2,Jean
Obi 'Quon Kenobi,9,Matt Bryant,K,Atl,BN,0,roy s
Birds Like I'm Julio,9,Matthew Stafford,QB,Det,QB,28.84,Jake
Post Mahomes,9,Mecole Hardman,WR,KC,BN,-1.3,JL
Da Don Da Da's,9,Melvin Gordon III,RB,Den,RB,25.9,Khari
Zeke Virus,9,Michael Gallup,WR,Dal,WR,11.3,Adam
Obi 'Quon Kenobi,9,Michael Thomas,WR,NO,BN,0,roy s
3HeadedATK,9,Mike Evans,WR,TB,W/R/T,36,Christopher
Obi 'Quon Kenobi,9,Mike Williams,WR,LAC,W/R/T,14.3,roy s
Post Mahomes,9,Miles Sanders,RB,Phi,BN,10.3,JL
